language,word,translation,type,family,case,added by,Created,Definition
🇩🇪,das Plätzchen,galleta navideña,Nomen,,Nominativ,Coco Guerra,"July 3, 2024 4:34 PM",
🇩🇪,der Niere,el riñon,Nomen,,,Coco Guerra,"December 21, 2023 12:28 PM",
🇩🇪,die Krawatte,la corbayta,Nomen,,,Coco Guerra,"December 21, 2023 9:30 AM",
🇩🇪,flicken,reparar,Verb,,,Coco Guerra,"December 18, 2023 12:04 PM",
🇩🇪,fangen,capturar,Verb,,,Coco Guerra,"December 15, 2023 10:43 AM",
🇩🇪,das Essbesteck,cubiertos,Nomen,,,Coco Guerra,"December 15, 2023 9:27 AM",
🇩🇪,Wechselkurs,tipo de cambio,Nomen,,,Coco Guerra,"November 13, 2023 10:41 AM",
🇩🇪,Stau,atasco,Nomen,,Nominativ,Coco Guerra,"November 13, 2023 9:24 AM",
🇩🇪,lebhaft,lively / activo,Adjektive,,,Coco Guerra,"September 28, 2023 8:17 AM",
🇩🇪,das Wohnzimmer,la sala,Nomen,,,Coco Guerra,"September 27, 2023 8:21 PM",
🇩🇪,der Fremdenführer,el guia,Nomen,,,Coco Guerra,"September 27, 2023 8:18 PM",
🇩🇪,erkundigen,preguntar sobre algo / interesarse por algo,Verb,,Akkusativ,Coco Guerra,"September 5, 2023 4:36 PM",
🇩🇪,schlendern,"pasear ",Verb,,,Coco Guerra,"September 2, 2023 1:38 PM",
🇩🇪,die Neuigkeit,novedad,Nomen,,Nominativ,Coco Guerra,"August 28, 2023 9:23 AM",
🇩🇪,ausleihen,"borrow / pedir prestado ",Verb,,Akkusativ,Coco Guerra,"August 28, 2023 8:55 AM",
🇩🇪,der Brustkorb,pecho,Nomen,,,Coco Guerra,"June 5, 2023 10:46 AM",
🇩🇪,unterstreichen,subrayar,Verb,,Akkusativ,Coco Guerra,"May 29, 2023 11:58 AM",
🇩🇪,liefern,delivery / hacer entrega de algo,Verb,,,Coco Guerra,"May 18, 2023 12:41 PM",
🇩🇪,der Lieferservice,el servicio de entrega,Nomen,,,Coco Guerra,"May 18, 2023 12:41 PM",
🇩🇪,die Lieferkosten,delivery costs,Nomen,,,Coco Guerra,"May 18, 2023 12:40 PM",
🇩🇪,der Mindestbestellwert,Mínimum order value,Nomen,,,Coco Guerra,"May 18, 2023 12:40 PM",
🇩🇪,schlau,pícaro,Adjektive,,,Coco Guerra,"May 18, 2023 12:37 PM",
🇩🇪,mitsprachen,decir conjuntamente,Verb,,Nominativ,Coco Guerra,"May 16, 2023 9:51 AM",
🇩🇪,durchhalten,aguantar algo / mantenerse firme,Verb,,Akkusativ,Coco Guerra,"May 16, 2023 9:44 AM",
🇩🇪,hinfallen,caer,Verb,,Akkusativ,Coco Guerra,"May 16, 2023 9:38 AM",
🇩🇪,"die Sehnsucht ","la añoranza ",Nomen,,,Coco Guerra,"March 14, 2023 10:00 AM",
🇩🇪,der Wandel,el cambio,Nomen,,,Coco Guerra,"March 14, 2023 9:56 AM",
🇩🇪,"die Gesellschaft ","la compañía ",Nomen,,,Coco Guerra,"March 14, 2023 9:55 AM",
🇩🇪,beitragen,contribute,Verb,,,Coco Guerra,"February 21, 2023 8:23 AM",
🇩🇪,abstimmen,votar,Verb,,,Coco Guerra,"February 21, 2023 8:23 AM",
🇩🇪,austrocknen,"secarse ",Verb,,,Coco Guerra,"February 4, 2023 1:59 PM",
🇩🇪,die Bestellung,orden / compras / solicitud,Nomen,,,Coco Guerra,"January 20, 2023 9:34 AM",
🇩🇪,stammen,proceder / provenir,Verb,,,Coco Guerra,"January 17, 2023 3:51 PM",
🇩🇪,Flüchtling,refugiado,Nomen,,,Coco Guerra,"January 17, 2023 10:52 AM",
🇩🇪,"anstrengend ","fatigoso / agotador / cansador ",Adjektive,,,Coco Guerra,"January 15, 2023 10:31 AM",
🇩🇪,verzeihen,"dispersar/ perdonar a alguien ",Verb,,Akkusativ,Coco Guerra,"January 15, 2023 9:45 AM",
🇩🇪,"bedrückt ","decaído / deprimido ",Adjektive,,,Coco Guerra,"January 15, 2023 9:32 AM",
🇩🇪,ernst,Grave / serio / con seriedad,Adjektive,,,Coco Guerra,"January 15, 2023 9:27 AM",
🇩🇪,düster,sombrío / funebre,Adjektive,,,Coco Guerra,"January 15, 2023 9:22 AM",
🇩🇪,"die Auskunft ","razón / declaración ",Nomen,,,Coco Guerra,"January 8, 2023 9:35 AM",
🇩🇪,Mist!,Mierda / coño,Expresaron,,,Coco Guerra,"January 8, 2023 9:30 AM",
🇩🇪,kraftlos,"sin potencia / sin fuerza ",Adverbien,,,Coco Guerra,"January 8, 2023 9:29 AM",
🇩🇪,"ausreden ","usar algo como excusa / tener una excusa preparada ",Verb,,Dativ,Coco Guerra,"January 1, 2023 8:27 AM",
🇩🇪,kümmern,"Hacerse cargo de ",Verb,,Akkusativ,Coco Guerra,"January 1, 2023 7:37 AM",
🇩🇪,bemalen,pintar algo,Verb,,,Coco Guerra,"December 31, 2022 4:33 PM",
🇩🇪,aufwendig,laborioso,Adjektive,,,Coco Guerra,"December 31, 2022 12:00 PM",
🇩🇪,"der Zustand ",estado/ condición /state,Nomen,,,Coco Guerra,"December 28, 2022 8:56 PM",
🇩🇪,das Durcheinander,confusion / lio / revuelo,Nomen,,,Coco Guerra,"November 8, 2022 10:27 AM",
🇩🇪,die Kugel,bola / esfera,Nomen,,,Coco Guerra,"November 8, 2022 10:26 AM",
🇩🇪,das Hilfsverb,verbo auxiliar,Nomen,,,Coco Guerra,"November 8, 2022 10:26 AM",
🇩🇪,die Erlaubnis,permiso,Nomen,,,Coco Guerra,"November 8, 2022 10:25 AM",
🇩🇪,das Verkehrsmittel,medio de transporte,Nomen,,,Coco Guerra,"November 8, 2022 10:25 AM",
🇩🇪,die Möglichkeit,opcion / posibilidad,Nomen,,,Coco Guerra,"November 8, 2022 10:24 AM",
🇩🇪,irgendwelche,cualquiera,Adverbien,,,Coco Guerra,"November 8, 2022 10:23 AM",
🇩🇪,fußball weltmeisterschaft,futbol world cup,Nomen,,,Coco Guerra,"November 8, 2022 10:23 AM",
🇩🇪,überqueren,atravezar algo / cruzar algo,Verb,,,Coco Guerra,"October 25, 2022 9:22 AM",
🇩🇪,die Wurst,the cold cut meat,Nomen,,,Coco Guerra,"October 25, 2022 9:21 AM",
🇩🇪,der Mittagsschlaf,La siesta,Nomen,,,Coco Guerra,"October 8, 2022 5:28 PM",
🇩🇪,"der Aufkleber ",pegatina,Nomen,,,Coco Guerra,"September 25, 2022 6:48 PM",
🇩🇪,die Koffer,la valija,Nomen,,,Coco Guerra,"September 25, 2022 6:47 PM",
🇩🇪,Teilmobilmachung,movilizacion oficial,Verb,,,Coco Guerra,"September 20, 2022 8:31 PM",
🇩🇪,vorbereiten,preparar,Verb,,,Coco Guerra,"September 20, 2022 8:30 PM",
🇩🇪,ankündigen,anunciado,Verb,,,Coco Guerra,"September 20, 2022 8:27 PM",
🇩🇪,vorantreiben,impulsar / avanzar / promover,Verb,,,Coco Guerra,"September 20, 2022 6:12 PM",
🇩🇪,https://dict.leo.org/german-english/das Gebiet,area / region / territorio,Nomen,,,Coco Guerra,"September 20, 2022 6:08 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/kommend,entrante / venidero,Adjektive,,,Coco Guerra,"September 13, 2022 3:54 PM",
🇩🇪,einwandern,inmigrar en algo / inmigrar,Verb,,Akkusativ,Coco Guerra,"September 13, 2022 3:50 PM",
🇬🇧,grandiose,grandioso,Adjektive,,,Coco Guerra,"September 2, 2022 8:22 AM","Grandiose is most often used disapprovingly to describe something that seems impressive or is intended to be impressive, but is either not possible or practical."
🇩🇪,der Stamm,tronco/tallo,Nomen,,,Coco Guerra,"August 30, 2022 9:54 AM",
🇩🇪,ergeben,"suman/ tienen como resultado ",Verb,,,Coco Guerra,"August 30, 2022 9:53 AM",
🇩🇪,"bestehen ",existir,Verb,,,Coco Guerra,"August 30, 2022 9:48 AM",
🇩🇪,der Regenbogen,"arcoíris ",Nomen,,,Coco Guerra,"August 30, 2022 9:48 AM",
🇩🇪,bunt / farbig,colorida,Adjektive,,,Coco Guerra,"August 30, 2022 9:46 AM",
🇩🇪,außergewöhnlich,Extraordinario,Adjektive,,,Coco Guerra,"August 29, 2022 5:47 PM",
🇩🇪,"kurz gesagt ","in a nutshell ",,,,Coco Guerra,"August 28, 2022 12:26 PM",
🇩🇪,zuckerschlecken,"no ser fácil ",Adjektive,,,Coco Guerra,"August 25, 2022 1:19 PM",
🇩🇪,"tauschen ","cambiar algo ",Verb,,Akkusativ,Coco Guerra,"August 13, 2022 7:35 AM",
🇩🇪,die Abfahrt,"partidas ",Nomen,,,Coco Guerra,"August 12, 2022 9:56 AM",
🇩🇪,"diejenige ",aquellos,Adverbien,,,Coco Guerra,"August 12, 2022 9:55 AM",
🇩🇪,"stinken ","smell / apestar ",Verb,,Nominativ,Coco Guerra,"August 12, 2022 9:52 AM",
🇩🇪,"klebrig ","pegajozo ",Adjektive,,,Coco Guerra,"August 8, 2022 7:17 PM",
🇩🇪,lästig,embarazoso,Adjektive,,,Coco Guerra,"August 5, 2022 12:40 PM",
🇩🇪,überzeugen,"convencer ",Verb,,,Coco Guerra,"August 5, 2022 12:38 PM",
🇩🇪,herablassend,"condescendiente ",Adjektive,,,Coco Guerra,"August 5, 2022 12:34 PM",
🇩🇪,aufräumen,"ordenar algo ",Verb,,Akkusativ,Coco Guerra,"July 27, 2022 8:08 PM",
🇩🇪,"aufessen ","acabarse la comida ",Verb,,Akkusativ,Coco Guerra,"July 27, 2022 8:07 PM",
🇬🇧,"conundrum ","misterio / enigma ",,,,Coco Guerra,"July 26, 2022 7:47 PM",
🇩🇪,die Grenze,"frontera / límite ",Nomen,,Nominativ,Coco Guerra,"July 20, 2022 9:02 PM",
🇩🇪,kiffen,fumar porros,Verb,,Nominativ,Coco Guerra,"July 19, 2022 11:13 AM",
🇩🇪,umdrehen,"girar ",Verb,,Nominativ,Coco Guerra,"July 10, 2022 2:12 PM",
🇩🇪,mittlere,el del medio,Adjektive,,Nominativ,Coco Guerra,"June 26, 2022 12:43 PM",
🇩🇪,insgesamt,en total / por todo,Nomen,,Nominativ,Coco Guerra,"June 26, 2022 12:42 PM",
🇩🇪,die Umgebung,cercania / afueras / alrededores,Nomen,,Nominativ,Coco Guerra,"June 26, 2022 12:40 PM",
🇩🇪,der Verwandte,pariente,Nomen,,Nominativ,Coco Guerra,"June 26, 2022 12:38 PM",
🇩🇪,abschaffen,abolir / suprimir,Verb,,Akkusativ,Coco Guerra,"June 26, 2022 12:31 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/rechtsradikal,facista / redical de derecha,Adverbien,,,Coco Guerra,"June 26, 2022 12:29 PM",
🇩🇪,früher war,used to be / solia ser / antes / antiguamente,Adverbien,,,Coco Guerra,"June 26, 2022 12:26 PM",
🇩🇪,die Gleichberechtigung,igualdad de derechos,Nomen,,Nominativ,Coco Guerra,"June 26, 2022 11:45 AM",
🇩🇪,farbenfroh,"colorido ",Adjektive,,,Coco Guerra,"May 22, 2022 12:48 PM",
🇩🇪,die Wiedergabegeschwindigkeit,velocidad de reproducción,Nomen,,Nominativ,Coco Guerra,"May 22, 2022 12:47 PM",
,unberechenbar,"impredecible ",Adjektive,,,Coco Guerra,"April 30, 2022 9:18 AM",
🇩🇪,bezwungen,conquistar / vencer / derrotar,Verb,,,Coco Guerra,"April 19, 2022 12:27 PM",
🇩🇪,gemütlich,"confortable ",Adjektive,,,Coco Guerra,"April 8, 2022 6:59 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/largarsebhauen,largarse,Verb,,,Coco Guerra,"April 6, 2022 4:16 PM",
🇩🇪,der Bund,la federación,Nomen,,,Coco Guerra,"April 4, 2022 10:51 AM",
🇩🇪,abgeben,entregar algo / emitir algo,,,,Coco Guerra,"March 22, 2022 11:07 AM",
🇩🇪,abheben,retirar / despegar,Verb,,,Coco Guerra,"March 22, 2022 11:06 AM",
🇩🇪,vergehen,"transcurrir ",Verb,,Nominativ,Coco Guerra,"March 18, 2022 9:49 PM",
🇩🇪,"spenden ",donar,Verb,,Nominativ,Coco Guerra,"March 18, 2022 9:45 PM",
🇩🇪,"die Redewendung ","la expresión  / frase ",Nomen,,Nominativ,Coco Guerra,"March 18, 2022 9:42 PM",
🇩🇪,"loben ","ensalzar / alabar ",Verb,,Nominativ,Coco Guerra,"March 18, 2022 9:40 PM",
🇩🇪,die Fertigkeit,"la habilidad ",Nomen,,Nominativ,Coco Guerra,"March 9, 2022 6:46 AM",
🇩🇪,"je ",cuánto (más),Adjektive,,Nominativ,Coco Guerra,"March 1, 2022 12:37 PM",
🇩🇪,"desto ","tanto más ",Adjektive,,Nominativ,Coco Guerra,"March 1, 2022 12:36 PM",
🇩🇪,"aufpassen ",tener cuidado de alguien / niñera,Verb,,Dativ,Coco Guerra,"February 27, 2022 9:51 PM",
🇩🇪,der Eintritt,el ingreso,Nomen,,Nominativ,Coco Guerra,"February 27, 2022 9:44 PM",
🇩🇪,mitnehmen,"llevarse algo / jalar a alguien ",Verb,,Nominativ,Coco Guerra,"February 27, 2022 9:42 PM",
🇩🇪,unterstützen,"apoyar a alguien / respaldar a alguien ",,,,Coco Guerra,"February 27, 2022 4:48 PM",
🇩🇪,mitgehen,ir con alguien,,,,Coco Guerra,"February 27, 2022 4:45 PM",
🇩🇪,"der Mitarbeiter ","el colaborador ",Nomen,,Nominativ,Coco Guerra,"February 24, 2022 6:53 PM",
,Früher habe ich das so gemacht…,I used to do that,Satz,,,Coco Guerra,"February 24, 2022 6:33 PM",
🇩🇪,"umbauen ",remodelar algo / modificar algo,Verb,,Akkusativ,Coco Guerra,"February 24, 2022 6:31 PM",
🇩🇪,"mitmachen ",apuntarse a algo / participar en algo,Verb,,Dativ,Coco Guerra,"February 19, 2022 5:33 PM",
🇩🇪,leuchten,"alumbrar ",Verb,,Nominativ,Coco Guerra,"February 19, 2022 3:19 PM",
🇩🇪,der Segen,"la bendición ",Nomen,,Nominativ,Coco Guerra,"February 19, 2022 3:17 PM",
🇩🇪,jein,https://dict.leo.org/spanisch-deutsch/s%C3%AD https://dict.leo.org/spanisch-deutsch/y no,Adverbien,,Nominativ,Coco Guerra,"February 17, 2022 9:24 AM",
🇩🇪,"der Eingang ",entrada,Nomen,,Nominativ,Coco Guerra,"February 15, 2022 11:09 PM",
🇩🇪,"der Ausgang ","salida / éxito ",Nomen,,,Coco Guerra,"February 15, 2022 11:08 PM",
🇩🇪,"schätzen ","apreciar / valorar / honrar algo ",Verb,,Akkusativ,Coco Guerra,"February 15, 2022 11:07 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die Gedenkstätte,monumento conmemorativo / lugar conmemorativo,Nomen,,Nominativ,Coco Guerra,"February 15, 2022 3:16 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/anscheinend,por lo visto / aparentemente,Verb,,Nominativ,Coco Guerra,"February 14, 2022 11:17 AM",
🇩🇪,"ausziehen ",quitarse / take off,Verb,,Nominativ,Coco Guerra,"February 13, 2022 4:51 PM",
🇩🇪,das Dorf,pueblo / village,Nomen,,Nominativ,Coco Guerra,"February 13, 2022 4:45 PM",
🇩🇪,einsteigen,embarcar,Verb,,Nominativ,Coco Guerra,"February 13, 2022 4:44 PM",
🇩🇪,der Kreis,"círculo ",Nomen,,Nominativ,Coco Guerra,"February 13, 2022 4:42 PM",
🇩🇪,der Nachname,"apellido / nombre de familia ",Nomen,,Nominativ,Coco Guerra,"February 13, 2022 4:38 PM",
🇩🇪,der Eingang,"entrada ",Nomen,,Nominativ,Coco Guerra,"February 13, 2022 4:37 PM",
🇩🇪,"sich verschlucken ","ahogarse / atragantarse ",Verb,,Akkusativ,Coco Guerra,"February 13, 2022 4:33 PM",
🇩🇪,bedenken,dar las gracias / agradecer  algo a alguien,Verb,,Akkusativ,Coco Guerra,"February 12, 2022 3:07 PM",
🇩🇪,überprüfen,verificar / revisar,Verb,,Akkusativ,Coco Guerra,"February 12, 2022 3:06 PM",
🇩🇪,genauso,al igual que / ni mas ni menos / asimismo / igual de,,,,Coco Guerra,"February 8, 2022 8:05 PM",
🇩🇪,hartnäckig,pertinaz / insistente / recalcitrante,Adjektive,,,Coco Guerra,"February 8, 2022 8:21 AM",
🇬🇧,"gambling ",juegos de azar,Adjektive,,,Coco Guerra,"February 3, 2022 6:22 PM",
🇩🇪,"liefern ",hacer entrega de algo / proporcionar algo / suministrar algo,,,Akkusativ,Coco Guerra,"February 2, 2022 7:32 AM",
🇬🇧,https://dict.leo.org/spanish-english/triage,clasificacion / selección (de urgencias),Verb,,,Coco Guerra,"February 1, 2022 8:31 AM",
🇩🇪,der Müll,el residuo / la basura,Nomen,,Nominativ,Coco Guerra,"January 28, 2022 11:37 AM",
🇩🇪,rausgehen,salir de algo,Verb,,Dativ,Coco Guerra,"January 28, 2022 11:36 AM",
🇩🇪,trennen,separar algo / unir algo,Verb,,Akkusativ,Coco Guerra,"January 28, 2022 11:34 AM",
🇩🇪,spinnen,loquear / hilar algo,,,Akkusativ,Coco Guerra,"January 28, 2022 11:31 AM",
🇩🇪,grillen,https://dict.leo.org/spanisch-deutsch/hacer https://dict.leo.org/spanisch-deutsch/una https://dict.leo.org/spanisch-deutsch/barbacoa,Verb,,Akkusativ,Coco Guerra,"January 28, 2022 8:38 AM",
🇩🇪,die Uhr,"el reloj ",Nomen,,Nominativ,Coco Guerra,"January 27, 2022 8:30 AM",
🇩🇪,"schneiden ","cortar algo ",Verb,,Akkusativ,Coco Guerra,"January 27, 2022 8:26 AM",
🇩🇪,"die Kappe / die Mütze ",la gorra,Nomen,,,Coco Guerra,"January 27, 2022 8:25 AM",
🇩🇪,der Schein,"boleto / billete ",Nomen,,,Coco Guerra,"January 27, 2022 8:22 AM",
🇩🇪,die Pflaume,ciruela,Nomen,,,Coco Guerra,"January 27, 2022 8:21 AM",
🇩🇪,die Auswanderung,la emigración,Nomen,,,Coco Guerra,"January 22, 2022 6:06 AM",
🇩🇪,auswandern,"emigrar / mudarse a otro país ",Verb,,,Coco Guerra,"January 22, 2022 6:05 AM",
🇩🇪,verraten,"delatar / traicionar / vender ",Verb,,,Coco Guerra,"January 21, 2022 7:13 AM",
🇩🇪,der Donner,el trueno,Nomen,,,Coco Guerra,"January 21, 2022 7:12 AM",
🇬🇧,dun,,,,,Coco Guerra,"January 20, 2022 9:05 AM",
🇬🇧,resume,reanudar,Verb,,,Coco Guerra,"January 20, 2022 9:04 AM",
🇬🇧,tense,tiempo verbal,Nomen,,,Coco Guerra,"January 17, 2022 9:25 AM",
🇬🇧,https://dict.leo.org/spanish-english/compelling,irresistible / cautivador,Adjektive,,,Coco Guerra,"January 11, 2022 12:02 PM",
🇩🇪,betragen,ascender a algo / suponer algo,Verb,,,Coco Guerra,"January 11, 2022 9:21 AM",
🇩🇪,geringe,"escaso / poco / flaca ",Adjektive,,,Coco Guerra,"January 9, 2022 10:36 PM",
🇬🇧,selfish,egoísta/interesado,Adjektive,,,Coco Guerra,"January 8, 2022 7:58 AM",
🇬🇧,expedient,"conveniente / idóneo / oportuno ",Adjektive,,,Coco Guerra,"January 8, 2022 7:49 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/%C3%BCbertragen,"televisar algo / transmitir algo a través de la televisión ",Verb,,,Coco Guerra,"January 4, 2022 10:46 AM",
🇩🇪,das Amt,el cargo,Nomen,,,Coco Guerra,"January 4, 2022 10:46 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Verteidigung,la defensiva,Nomen,,,Coco Guerra,"January 4, 2022 10:44 AM",
🇩🇪,die Verteidigungsministerin,ministro de defensa,Nomen,,,Coco Guerra,"January 4, 2022 10:44 AM",
🇩🇪,Politikerposten,"puestos politicos ",Nomen,,,Coco Guerra,"January 4, 2022 10:42 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/der https://dict.leo.org/spanisch-deutsch/Ablauf,el proceso / el transcurso,Nomen,,,Coco Guerra,"January 2, 2022 11:11 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Verabschiedung,la despedida,Nomen,,,Coco Guerra,"January 2, 2022 11:09 AM",
🇩🇪,die Auszeichnung,la condecoración,Nomen,,,Coco Guerra,"January 2, 2022 11:07 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Fackel,antorcha,Nomen,,,Coco Guerra,"January 2, 2022 11:07 AM",
🇩🇪,bei,,,,,Coco Guerra,"January 2, 2022 10:59 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/ehren,honrar algo/a alguien / homenajear algo/a alguien,Verb,,,Coco Guerra,"January 2, 2022 10:57 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/der https://dict.leo.org/spanisch-deutsch/Anlass,"la ocasión / el motivo / ",,,,Coco Guerra,"January 2, 2022 10:33 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Ehre,honor,Adjektive,,,Coco Guerra,"January 2, 2022 10:32 AM",
🇩🇪,frühstücken,desayunar,Verb,,,Coco Guerra,"December 28, 2021 6:46 PM",
🇩🇪,beten,"to pay / rezar ",Verb,,,Coco Guerra,"December 28, 2021 6:42 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/gro%C3%9Fartig,brillante / estupendo,Adjektive,,,Coco Guerra,"December 25, 2021 12:48 PM",
🇩🇪,selbstbewusst,seguro / confident,,,,Coco Guerra,"December 25, 2021 12:45 PM",
🇩🇪,erforschen,explorar,Verb,,,Coco Guerra,"December 25, 2021 12:40 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/der https://dict.leo.org/spanisch-deutsch/Kampf,el combate,Nomen,,,Coco Guerra,"December 25, 2021 12:31 PM",
🇩🇪,anstatt,en lugra de / en vez de,Präposition,,,Coco Guerra,"December 25, 2021 12:29 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/der https://dict.leo.org/spanisch-deutsch/Hintergrund,el trasfondo,Nomen,,,Coco Guerra,"December 25, 2021 12:28 PM",
🇩🇪,die https://dict.leo.org/spanisch-deutsch/Ausgangssperre,toque de queda,Nomen,,,Coco Guerra,"December 25, 2021 12:24 PM",
🇩🇪,der Zapfenstreich,toque de queda / hora de dormir,Nomen,,,Coco Guerra,"December 25, 2021 12:21 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Grundausbildung,formación básica,Nomen,,,Coco Guerra,"December 25, 2021 12:19 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Bundeswehr,el ejército,Nomen,,,Coco Guerra,"December 25, 2021 12:17 PM",
