language,word,translation,type,family,case,added by,Created,Definition
🇩🇪,verwenden,use / utilize,Verb,,,Coco Guerra,"December 25, 2021 12:15 PM",
🇩🇪,das Quartier,aposento / habitacion / cuarto,Nomen,,,Coco Guerra,"December 25, 2021 12:13 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/der https://dict.leo.org/spanisch-deutsch/S%C3%B6ldner,mercenario,Nomen,,,Coco Guerra,"December 25, 2021 12:12 PM",
🇩🇪,verabschieden,"despedirse / decir adios / despedir ",Verb,,,Coco Guerra,"December 25, 2021 12:05 PM",
🇩🇪,https://dict.leo.org/alem%C3%A1n-espa%C3%B1ol/das https://dict.leo.org/alem%C3%A1n-espa%C3%B1ol/Waschweib,comadre,Nomen,,,Coco Guerra,"December 25, 2021 11:50 AM",
🇩🇪,der Kumpel,compadre,Nomen,,,Coco Guerra,"December 25, 2021 11:49 AM",
🇩🇪,zugehören,pertenecer a,Verb,,,Coco Guerra,"December 16, 2021 7:29 AM",
🇩🇪,feigling,"ser una gallina  / no tener huevos ",Adjektive,,,Coco Guerra,"December 13, 2021 6:43 PM",
🇩🇪,kämpfen,"combatir / pelear ",Verb,,,Coco Guerra,"December 13, 2021 6:43 PM",
🇩🇪,früher,antiguamente / antes,Adjektive,,,Coco Guerra,"December 7, 2021 9:25 AM",
,,,,,,Coco Guerra,"December 6, 2021 5:26 PM",
🇩🇪,die Anbetung,la adoración / latría,Nomen,,,Coco Guerra,"December 6, 2021 5:26 PM",
🇬🇧,lane,carril / via / senda / calzada / callejon,Nomen,,,Coco Guerra,"December 6, 2021 4:22 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/beherrschen,controlar,Verb,,,Coco Guerra,"December 6, 2021 11:03 AM",
🇩🇪,der Gemüsegarten,huerto,Nomen,,,Coco Guerra,"December 6, 2021 10:29 AM",
🇩🇪,städtisch,area urbana,Adjektive,,,Coco Guerra,"December 6, 2021 10:29 AM",
🇩🇪,ausruhen,descansar,Verb,,,Coco Guerra,"December 6, 2021 10:27 AM",
🇩🇪,eine Pause machen,descansar,Verb,,,Juan,"December 3, 2021 10:58 PM",
🇬🇧,threshold,limíte / umbral / lindero,,,,Coco Guerra,"December 3, 2021 1:47 PM",
🇩🇪,betreten,unirse a / entrar a,Verb,,,Coco Guerra,"December 2, 2021 3:08 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Klingel,el timbre / la campana,Nomen,,,Coco Guerra,"November 30, 2021 11:36 AM",
🇩🇪,klingen,sonar,Verb,,,Coco Guerra,"November 30, 2021 11:31 AM",
🇩🇪,lautet,decir en voz alta / alta voz,Adjektive,,,Coco Guerra,"November 30, 2021 11:29 AM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/lauten,decir / rezar,Verb,,,Coco Guerra,"November 30, 2021 11:28 AM",
🇬🇧,foresee,prevenir algo / https://dict.leo.org/ingl%C3%A9s-espa%C3%B1ol/prever https://dict.leo.org/ingl%C3%A9s-espa%C3%B1ol/algo,Verb,,,Coco Guerra,"November 29, 2021 12:50 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/l%C3%BCgen,mentir,Verb,,,Coco Guerra,"November 28, 2021 7:17 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Leiche,cadáver,,,,Coco Guerra,"November 28, 2021 7:16 PM",
,https://dict.leo.org/spanisch-deutsch/ausziehen,desnudarse / desalojar/ desvestir a alguien,Verb,,,Coco Guerra,"November 28, 2021 7:12 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/das https://dict.leo.org/spanisch-deutsch/Gegenteil,el opuesto,Nomen,,,Coco Guerra,"November 28, 2021 7:10 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/Gegenwart,el presente,Nomen,,,Coco Guerra,"November 28, 2021 7:09 PM",
,https://dict.leo.org/spanisch-deutsch/%C3%BCbersehen,omitir / descuidar algo,Verb,,,Coco Guerra,"November 28, 2021 7:08 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/s%C3%A4en,sembrar algo,Verb,,,Coco Guerra,"November 28, 2021 7:05 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/ernten,cosechar,Verb,,,Coco Guerra,"November 28, 2021 7:04 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/der https://dict.leo.org/spanisch-deutsch/Teufel,el demonio,Nomen,,,Coco Guerra,"November 28, 2021 6:55 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/die https://dict.leo.org/spanisch-deutsch/H%C3%B6lle,el infierno,Nomen,,,Coco Guerra,"November 28, 2021 6:53 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/das https://dict.leo.org/spanisch-deutsch/Erwachen,el despertar,Nomen,,,Coco Guerra,"November 24, 2021 12:12 PM",
🇩🇪,https://dict.leo.org/spanisch-deutsch/wunderlich,raro / singular,Adjektive,,,Coco Guerra,"November 18, 2021 10:46 AM",
🇬🇧,facetious,"joking often inappropriately ",Adjektive,,,Coco Guerra,"November 18, 2021 9:25 AM",
🇬🇧,amity,friendship / friendly realtions between nations,Adjektive,,,Coco Guerra,"November 18, 2021 9:09 AM",
🇩🇪,pale,palido,Adjektive,,,Coco Guerra,"October 25, 2021 12:08 PM",
🇬🇧,void,anular algo,Verb,,,Coco Guerra,"October 21, 2021 11:54 AM",
🇬🇧,drowning,ahogando,,,,Coco Guerra,"October 15, 2021 12:30 PM",
🇩🇪,beeindruckend,impressive,Adjektive,,,Coco Guerra,"October 10, 2021 1:15 PM",
🇩🇪,die Entscheidung,"la decisión ",Nomen,,,Coco Guerra,"October 7, 2021 6:12 PM",
🇩🇪,aufregend,emocionante,,,,Coco Guerra,"October 7, 2021 10:02 AM",
🇩🇪,anschließend,seguidamente / a continuación / afterwards,,,,Coco Guerra,"October 7, 2021 9:54 AM",
🇩🇪,das Huhn,la gallina,Nomen,,,Coco Guerra,"October 6, 2021 8:59 AM",
🇩🇪,die Zutat,ingrediente,Nomen,,,Coco Guerra,"October 6, 2021 8:58 AM",
🇩🇪,das Fach,la asignatura,Nomen,,,Coco Guerra,"October 6, 2021 8:55 AM",
🇩🇪,beibringen,enseñar algo a alguien / presentar algo,Verb,,,Coco Guerra,"October 6, 2021 8:54 AM",
🇩🇪,die Nabel,aguja,Nomen,,,Coco Guerra,"October 6, 2021 7:05 AM",
🇩🇪,"die Flüssigkeit ",fluidez,Nomen,,,Coco Guerra,"October 6, 2021 7:02 AM",
🇩🇪,der Klang,"sonido ",Nomen,,,Coco Guerra,"October 6, 2021 6:58 AM",
🇩🇪,fürchten,be afraid / asustarse,Verb,,,Coco Guerra,"September 29, 2021 3:53 PM",
🇩🇪,versprechen,promise,Verb,,,Coco Guerra,"September 29, 2021 3:53 PM",
🇩🇪,reinkommen,come in / get it,Verb,,,Coco Guerra,"September 29, 2021 3:52 PM",
🇩🇪,die Reinigung,limpieza,Nomen,,,Coco Guerra,"September 29, 2021 3:52 PM",
🇩🇪,betrügen,cheat / engañar,Verb,,,Coco Guerra,"September 29, 2021 3:52 PM",
🇩🇪,"der Schritt ",fase / etapa / paso,Nomen,,,Coco Guerra,"September 24, 2021 7:10 PM",
🇩🇪,der Hinweis,indicio / alusión / idea,,,,Coco Guerra,"September 22, 2021 2:55 PM",
🇩🇪,außerdem,además / a todo esto,Adverbien,,,Coco Guerra,"September 21, 2021 9:04 AM",
🇩🇪,unfassbar,increíble / incomprensible,Adjektive,,,Coco Guerra,"September 21, 2021 9:03 AM",
🇬🇧,leak,"fuga / filtración ",,,,Coco Guerra,"September 20, 2021 1:00 PM",
🇩🇪,naja,well / bueno,Adverbien,,,Coco Guerra,"September 18, 2021 1:46 PM",
🇩🇪,damals,por entonces,Adverbien,,,Coco Guerra,"September 18, 2021 1:43 PM",
🇩🇪,Anfängerin,novata / principianta,,,,Coco Guerra,"September 18, 2021 12:51 PM",
🇩🇪,der Alltag,vida cotidiana / la rutina,,,,Coco Guerra,"September 18, 2021 12:50 PM",
🇩🇪,ängstlich,miedoso,Adjektive,,,Coco Guerra,"September 18, 2021 12:49 PM",
🇩🇪,die Heirat,el casamiento,Nomen,,,Coco Guerra,"September 18, 2021 12:25 PM",
🇩🇪,heiraten,casarse,Verb,,,Coco Guerra,"September 18, 2021 12:25 PM",
🇩🇪,untergehen,descender,Verb,,,Coco Guerra,"September 18, 2021 12:21 PM",
🇩🇪,periódicamente,regelmäßig,Adverbien,,,Coco Guerra,"September 18, 2021 10:01 AM",
🇩🇪,gefühlsmäßig,emocionalmente / intuitivamente,Adverbien,,,Coco Guerra,"September 18, 2021 9:54 AM",
🇬🇧,Rehearsal,ensayo,Verb,,,Coco Guerra,"September 17, 2021 12:23 PM",
🇩🇪,dahin,allá,Adjektive,,,Coco Guerra,"September 17, 2021 9:42 AM",
🇩🇪,die Tannen,abeto / árbol,Adjektive,,,Coco Guerra,"September 17, 2021 9:41 AM",
🇬🇧,nitpick,quisquilloso,Nomen,,,Coco Guerra,"September 14, 2021 3:13 PM",
🇬🇧,narrow,"estrecho, estrecha",Adjektive,,,Coco Guerra,"September 14, 2021 9:29 AM",
🇩🇪,weitergehen,continuar,Verb,,,Coco Guerra,"September 14, 2021 9:28 AM",
🇩🇪,"behandeln ",tratar algo/a alguien,Verb,,,Coco Guerra,"September 8, 2021 1:58 PM",
🇩🇪,das Pathos,enfasis,Nomen,,,Coco Guerra,"September 1, 2021 6:51 PM",
🇩🇪,betonen,emfatizar,Verb,,,Coco Guerra,"September 1, 2021 6:51 PM",
🇩🇪,bestellen,ordenar algo / pedir algo / reservar algo,,,,Coco Guerra,"August 30, 2021 11:54 AM",
🇩🇪,melden,ponerse en contacto con alguien / denunciar algo / avisar,,,,Coco Guerra,"August 30, 2021 11:52 AM",
🇩🇪,anbieten,ofrecer,Verb,,,Coco Guerra,"August 30, 2021 11:49 AM",
🇩🇪,gerade,right now,,,,Coco Guerra,"August 30, 2021 11:49 AM",
🇩🇪,vergnüglich,agradable / divertido / entretenido,,,,Coco Guerra,"August 30, 2021 11:43 AM",
🇩🇪,das Fest,fiesta / festejo,Nomen,,,Coco Guerra,"August 30, 2021 11:43 AM",
🇩🇪,begrüßen,dar la bienvenida / saludor,,,,Coco Guerra,"August 30, 2021 11:42 AM",
🇩🇪,der Brauch,costumbre,Nomen,,,Coco Guerra,"August 30, 2021 11:41 AM",
🇩🇪,außerordentlich,extraordinario / a,Adjektive,,,Coco Guerra,"August 30, 2021 11:39 AM",
🇩🇪,gastfreundlich.,hospitalario,Adjektive,,,Coco Guerra,"August 30, 2021 11:39 AM",
🇩🇪,der Bescheid,el aviso,Nomen,,,Coco Guerra,"August 30, 2021 11:38 AM",
🇩🇪,die Menge,multitud / montón,Nomen,,,Coco Guerra,"August 30, 2021 11:38 AM",
🇩🇪,beworben,solicitar algo / hacer publicidad de algo,Verb,,,Coco Guerra,"August 30, 2021 11:37 AM",
🇩🇪,die Ankunft,llegada,Nomen,,,Coco Guerra,"August 30, 2021 11:36 AM",
🇩🇪,der Mund,boca,Nomen,,,Coco Guerra,"August 30, 2021 11:35 AM",
🇩🇪,schließlich,al fin / finalmente,Adverbien,,,Coco Guerra,"August 30, 2021 11:34 AM",
🇩🇪,starrten,mirar fijamente / tener la mirada perdida,Verb,,,Coco Guerra,"August 30, 2021 11:34 AM",
🇩🇪,stehen,estar de pie,Verb,,,Coco Guerra,"August 30, 2021 11:34 AM",
🇩🇪,die Landschaft,el paisaje,Nomen,,,Coco Guerra,"August 30, 2021 11:33 AM",
🇩🇪,anstellen,hacer cola / ponerse en fila,,,,Coco Guerra,"August 30, 2021 11:32 AM",
🇩🇪,übrig,sobrante,Adjektive,,,Coco Guerra,"August 30, 2021 11:30 AM",
🇩🇪,kräftig,fuerte / vigoroso,,,,Coco Guerra,"August 30, 2021 11:28 AM",
🇩🇪,fressen,devorar,Verb,,,Coco Guerra,"August 30, 2021 11:24 AM",
🇩🇪,die Peitsche,látigo,Nomen,,,Coco Guerra,"August 30, 2021 11:24 AM",
🇩🇪,der Schinken,jamón,Nomen,,,Coco Guerra,"August 30, 2021 11:23 AM",
🇩🇪,verschlagen,"astuto, astuta",Adjektive,,,Coco Guerra,"August 30, 2021 11:21 AM",
🇩🇪,hinterteil,parte trasera / nalgas,Nomen,,,Coco Guerra,"August 30, 2021 11:19 AM",
🇩🇪,Vermutlich,presumiblemente,Adjektive,,,Coco Guerra,"August 30, 2021 11:17 AM",
🇩🇪,der Satz,oración / movimiento,Verb,,,Coco Guerra,"August 30, 2021 11:16 AM",
🇩🇪,mächtig,enorme,Adjektive,,,Coco Guerra,"August 30, 2021 11:15 AM",
🇩🇪,der Wolf,lobo,Nomen,,,Coco Guerra,"August 30, 2021 11:15 AM",
🇩🇪,entkommen,escaparse,Verb,,,Coco Guerra,"August 30, 2021 11:14 AM",
🇩🇪,entdecken,descubrir algo/a alguien / explorar,Verb,,,Coco Guerra,"August 30, 2021 11:13 AM",
🇩🇪,unruhig,"inquieto, inquieta",Adjektive,,,Coco Guerra,"August 30, 2021 11:11 AM",
🇩🇪,tief,"profundo, profunda",Adjektive,,,Coco Guerra,"August 30, 2021 11:10 AM",
🇩🇪,traben,trotar,Verb,,,Coco Guerra,"August 30, 2021 11:09 AM",
🇩🇪,spannen,tensar algo / montar algo / tender algo,Verb,,,Coco Guerra,"August 30, 2021 11:08 AM",
🇩🇪,der Pferdeschlitten,trineo,Nomen,,,Coco Guerra,"August 30, 2021 11:06 AM",
🇩🇪,besorgen,gestionar algo / procurar algo,Verb,,,Coco Guerra,"August 30, 2021 11:05 AM",
🇩🇪,nämlich,es decir,Adjektive,,,Coco Guerra,"August 30, 2021 11:02 AM",
🇩🇪,frieren,freír / freírse,Verb,,,Coco Guerra,"August 30, 2021 11:02 AM",
🇬🇧,overlap,saliente / superposicion / reborde,,,,Coco Guerra,"August 27, 2021 9:05 AM",
🇩🇪,die Tischlerei,carpintería,Nomen,,,Coco Guerra,"August 26, 2021 12:46 PM",
🇩🇪,der Angestellte,empleado,Nomen,,,Coco Guerra,"August 26, 2021 12:43 PM",
🇩🇪,der Lieferant,proveedor,Nomen,,,Coco Guerra,"August 26, 2021 12:42 PM",
🇩🇪,,,,,,Coco Guerra,"August 26, 2021 12:41 PM",
🇩🇪,das Unternehmen,negocio / buisiness,Nomen,,,Coco Guerra,"August 26, 2021 12:41 PM",
🇩🇪,die Unterlage,documento / el documennto,Nomen,,,Coco Guerra,"August 26, 2021 12:40 PM",
🇬🇧,stakeholder,accionista,,,,Coco Guerra,"August 24, 2021 9:46 AM",
🇬🇧,grooming,"acicalamiento / aseo / cuidado corporal / limipieza ",,,,Coco Guerra,"August 24, 2021 9:15 AM",
🇩🇪,klug,smart,Adjektive,,,Coco Guerra,"August 23, 2021 6:55 PM",
🇩🇪,die Sprachen,idiomas,Nomen,,,Coco Guerra,"August 23, 2021 6:54 PM",
🇩🇪,drüben,over there,Adverbien,,,Coco Guerra,"August 23, 2021 6:50 PM",
🇩🇪,reich,rich,Adjektive,,,Coco Guerra,"August 23, 2021 6:48 PM",
🇩🇪,teuer,expensive,Adjektive,,,Coco Guerra,"August 23, 2021 6:48 PM",
🇬🇧,leak,derramarse / salirse / producirse una fuga,,,,Coco Guerra,"August 23, 2021 6:15 PM",
🇬🇧,tub,bañera,Nomen,,,Coco Guerra,"August 23, 2021 6:15 PM",
🇬🇧,furthermore,es más,Adjektive,,,Coco Guerra,"August 23, 2021 6:09 PM",
🇩🇪,abgeschlossen,completed,Verb,,,Coco Guerra,"August 23, 2021 4:51 PM",
🇩🇪,,,,,,Coco Guerra,"August 23, 2021 4:51 PM",
🇩🇪,der Zufall,coincidencia,Nomen,,,Coco Guerra,"August 23, 2021 11:51 AM",
🇩🇪,bemerken,darse cuenta de algo,Verb,,,Coco Guerra,"August 21, 2021 1:02 PM",
🇩🇪,rumlaufen,walk around,Verb,,,Coco Guerra,"August 17, 2021 8:32 AM",
🇬🇧,chilly,Gélido / helado,Adjektive,,,Coco Guerra,"August 16, 2021 11:35 AM",
🇩🇪,das Verständnis,la comprension,Nomen,,,Coco Guerra,"August 16, 2021 9:33 AM",
🇩🇪,unheimlich,escalofríante,Adjektive,,,Coco Guerra,"August 16, 2021 9:30 AM",
🇩🇪,"Du fehlst mir ","te extraño ",Satz,,,Coco Guerra,"August 15, 2021 7:20 AM",
🇩🇪,"Ich vermisse dich ","te extraño ",Satz,,,Coco Guerra,"August 15, 2021 7:20 AM",
🇩🇪,eher,más bien,Adjektive,,,Coco Guerra,"August 10, 2021 10:38 AM",
🇩🇪,"das Kraftfahrzeug ","vehículo / seguro de responsabilidad civil de automóviles ",Nomen,,,Coco Guerra,"August 8, 2021 3:16 PM",
🇩🇪,das Schauspielhaus,teatro,Nomen,,,Coco Guerra,"August 8, 2021 3:15 PM",
🇩🇪,arm,Pobre,Adjektive,,,Coco Guerra,"August 8, 2021 2:58 PM",
🇩🇪,die Ausstechformen,cortador de galletas,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:42 AM",
🇩🇪,die Obstkuchenform,molde de pastel de frutas,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:41 AM",
🇩🇪,die Pastetenform,Molde de pastel,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:29 AM",
🇩🇪,der Messbecher,el vaso-medida,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:27 AM",
🇩🇪,die Haushaltswaage,balanza de cocina,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:26 AM",
🇩🇪,die Kasserolle,la cacerola,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:25 AM",
🇩🇪,das Kuchenförmchen,estuches para tartas,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:24 AM",
🇩🇪,die Hitzebeständigkeit,resistencia al calor,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:23 AM",
🇩🇪,die Auflaufform,el molde (para horno),Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:22 AM",
🇩🇪,der Schmortopf,cazuela de barro,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:21 AM",
🇩🇪,die Antihaftbeschichtung,recubrimiento antiadherente,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:20 AM",
🇩🇪,der Wok,wok,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:19 AM",
🇩🇪,das Grillblech,parrilla,Nomen,Küchengeräte,,Coco Guerra,"August 4, 2021 11:17 AM",
🇩🇪,"fahren ",circular / riding to,Verb,,,Coco Guerra,"August 3, 2021 4:21 PM",
🇩🇪,die Laune,humor / estado de ánimo / mood,Nomen,,Nominativ,Coco Guerra,"August 3, 2021 2:44 PM",
🇩🇪,abhängen,depender,Verb,,,Coco Guerra,"August 3, 2021 2:32 PM",
🇩🇪,verbringen,"pasar tiempo ",Verb,,,Coco Guerra,"August 3, 2021 9:31 AM",
🇩🇪,"schaffen ",manejar algo / poner remedio a algo,Verb,,,Coco Guerra,"August 3, 2021 9:30 AM",
🇩🇪,"ankommen ",llegar / arribar / depender de,Verb,,,Coco Guerra,"August 3, 2021 9:28 AM",
🇩🇪,"die Erfahrung ","experiencia ",Nomen,,,Coco Guerra,"August 3, 2021 9:16 AM",
🇩🇪,"ausgesprochen ","pronunciar ",Verb,,,Coco Guerra,"August 3, 2021 9:11 AM",
🇬🇧,"appliance ","electrodoméstico / aparato / enseres ",,,,Coco Guerra,"August 2, 2021 11:00 AM",
🇩🇪,bestätigen,cofirmar,Verb,,,Coco Guerra,"July 31, 2021 10:31 AM",
🇩🇪,"das Benehmen ","comportamiento ",Nomen,,,Coco Guerra,"July 30, 2021 2:43 PM",
🇩🇪,solche,"tal / semejante ",Adjektive,,,Coco Guerra,"July 30, 2021 2:42 PM",
🇩🇪,die Weide,"pradera / pastizal ",Nomen,,,Coco Guerra,"July 30, 2021 7:09 AM",
🇩🇪,"einsetzen ","implantar algo ",Verb,,,Coco Guerra,"July 30, 2021 7:08 AM",
🇩🇪,"der Hirte ",pastor,Nomen,,,Coco Guerra,"July 30, 2021 7:06 AM",
🇩🇪,aufsuchen,"visitar a alguien ",Verb,,,Coco Guerra,"July 30, 2021 7:05 AM",
🇩🇪,die Herde,rebaño,Nomen,,,Coco Guerra,"July 30, 2021 7:04 AM",
🇩🇪,nachschauen,mirar algo,Verb,,,Coco Guerra,"July 29, 2021 4:57 PM",
🇩🇪,freuen,alegrarse,Verb,,,Coco Guerra,"July 29, 2021 11:03 AM",
🇩🇪,bestanden,"aprobado / pasado / ganando ",Verb,,,Coco Guerra,"July 29, 2021 11:01 AM",
🇬🇧,naïve,cándido / ingenuo,Adjektive,,,Coco Guerra,"July 29, 2021 9:20 AM",
🇬🇧,outsized,decomunal,Adjektive,,,Coco Guerra,"July 27, 2021 1:20 PM",
🇩🇪,schießen,disparar,Verb,,,Coco Guerra,"July 27, 2021 12:09 PM",
🇩🇪,hängen,colgar,Verb,,,Coco Guerra,"July 27, 2021 12:08 PM",
🇩🇪,wegschmolz,derretirse,Verb,,,Coco Guerra,"July 27, 2021 12:06 PM",
🇩🇪,kopfüber,al revés,Adverbien,,,Coco Guerra,"July 27, 2021 12:06 PM",
🇩🇪,der Wetterhahn,veleta,Nomen,,,Coco Guerra,"July 27, 2021 11:59 AM",
🇩🇪,die Kirchturmspitze,punta del campanario,Nomen,,,Coco Guerra,"July 27, 2021 11:57 AM",
🇩🇪,das Wiehern,el relincho,Nomen,,,Coco Guerra,"July 27, 2021 11:56 AM",
🇩🇪,zappeln,patalear,Verb,,,Coco Guerra,"July 27, 2021 11:56 AM",
🇩🇪,wiehern,relinchar,Verb,,,Coco Guerra,"July 27, 2021 11:55 AM",
🇩🇪,das Blinzeln,el parpadeo,Nomen,,,Coco Guerra,"July 27, 2021 11:54 AM",
🇩🇪,blinzeln,parpadear,Verb,,,Coco Guerra,"July 27, 2021 11:53 AM",
🇩🇪,lebendig,viviente,Adjektive,,,Coco Guerra,"July 27, 2021 11:43 AM",
🇩🇪,fühlen,experimentar algo / sentir algo,Verb,,,Coco Guerra,"July 27, 2021 11:43 AM",
🇩🇪,weggehen,go away,Verb,,,Coco Guerra,"July 27, 2021 11:41 AM",
🇩🇪,der Friedhof,campo santo / cementerio,Nomen,,,Coco Guerra,"July 27, 2021 11:40 AM",
🇩🇪,mitten,en medio de,Präposition,,,Coco Guerra,"July 27, 2021 11:39 AM",
🇩🇪,umschauen,mirar alrededor,Verb,,,Coco Guerra,"July 27, 2021 11:39 AM",
🇩🇪,reiben,frotar algo,Verb,,,Coco Guerra,"July 27, 2021 11:38 AM",
🇩🇪,tief,hondo / profundo,Adjektive,,,Coco Guerra,"July 27, 2021 11:36 AM",
🇩🇪,heraussuchen,entrasalir / florecer / entresacar,Verb,,,Coco Guerra,"July 27, 2021 11:32 AM",
🇩🇪,der Ast,gajo / sepo / nudo,Nomen,,,Coco Guerra,"July 27, 2021 11:28 AM",
🇩🇪,binde,atar algo,Verb,,,Coco Guerra,"July 27, 2021 11:28 AM",
🇩🇪,steigen,desmontar / ascender,Verb,,,Coco Guerra,"July 27, 2021 11:27 AM",
🇩🇪,schneelandschaft,paisaje nevado,Adjektive,,,Coco Guerra,"July 27, 2021 11:19 AM",
